,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
99,0.004,-198.85999999999999,-58.56,1043.588,11025.0,4357.5,560.0,-115.92000000000002,219.94000000000003,-893.6200000000001,-3.291208791208791,-10.648351648351648,-77.84615384615384
100,0.004,-199.10399999999998,-58.56,1043.588,11007.5,4340.0,507.5,-115.92000000000002,219.94000000000003,-893.6200000000001,-3.241758241758242,-10.791208791208792,-77.86813186813187
101,0.004,-199.10399999999998,-58.56,1043.588,11550.0,4550.0,700.0,-117.18,218.40000000000003,-889.7,-3.1043956043956045,-10.763736263736265,-77.9010989010989
102,0.004,-199.10399999999998,-58.56,1043.8319999999999,11725.0,4445.0,752.5,-117.18,218.40000000000003,-889.7,-3.32967032967033,-10.785714285714286,-77.86813186813187
103,0.004,-198.85999999999999,-58.56,1044.32,11462.5,4340.0,682.5,-117.18,218.40000000000003,-889.7,-3.1923076923076925,-10.741758241758241,-77.8956043956044
104,0.004,-199.10399999999998,-58.804,1044.808,11550.0,4462.5,595.0,-125.44000000000001,215.04000000000002,-886.0600000000001,-3.3516483516483517,-10.868131868131869,-77.87912087912088
105,0.004,-199.10399999999998,-58.804,1045.296,11410.0,4357.5,665.0,-125.44000000000001,215.04000000000002,-886.0600000000001,-3.2472527472527473,-10.741758241758241,-77.9010989010989
106,0.004,-198.85999999999999,-58.804,1046.028,11130.0,4445.0,682.5,-125.44000000000001,215.04000000000002,-886.0600000000001,-3.1153846153846154,-10.76923076923077,-77.93406593406593
107,0.004,-199.10399999999998,-59.048,1046.516,11235.0,4392.5,665.0,-125.44000000000001,215.04000000000002,-886.0600000000001,-3.3461538461538463,-10.736263736263735,-77.8956043956044
108,0.004,-198.85999999999999,-59.292,1047.004,11462.5,4392.5,647.5,-121.80000000000001,219.66000000000003,-892.6400000000001,-3.2032967032967035,-10.725274725274724,-77.92857142857143
109,0.004,-198.85999999999999,-59.536,1047.7359999999999,10710.0,4375.0,630.0,-121.80000000000001,219.66000000000003,-892.6400000000001,-3.434065934065934,-10.73076923076923,-77.8956043956044
110,0.004,-198.61599999999999,-59.536,1048.712,11480.0,4375.0,420.0,-121.80000000000001,219.66000000000003,-892.6400000000001,-3.291208791208791,-10.692307692307692,-77.92307692307692
111,0.004,-198.85999999999999,-59.536,1049.6879999999999,11147.5,4410.0,770.0,-116.76,215.74,-891.5200000000001,-3.1648351648351647,-10.747252747252746,-77.95604395604396
112,0.004,-198.61599999999999,-59.536,1049.6879999999999,10710.0,4410.0,700.0,-116.76,215.74,-891.5200000000001,-3.368131868131868,-10.631868131868131,-77.92307692307692
113,0.004,-198.85999999999999,-59.536,1049.6879999999999,11410.0,4427.5,577.5,-116.76,215.74,-891.5200000000001,-3.258241758241758,-10.714285714285714,-77.95054945054945
114,0.004,-198.85999999999999,-59.536,1049.2,11252.5,4462.5,805.0,-116.20000000000002,215.04000000000002,-891.6600000000001,-3.120879120879121,-10.73076923076923,-77.98351648351648
115,0.004,-198.85999999999999,-59.536,1048.468,10780.0,4497.5,612.5,-116.20000000000002,215.04000000000002,-891.6600000000001,-3.3516483516483517,-10.703296703296703,-77.94505494505495
116,0.004,-198.85999999999999,-59.292,1047.492,11655.0,4427.5,735.0,-116.20000000000002,215.04000000000002,-891.6600000000001,-3.21978021978022,-10.736263736263735,-77.97802197802197
117,0.004,-199.10399999999998,-59.292,1047.004,11410.0,4252.5,717.5,-117.32000000000001,214.48000000000002,-887.8800000000001,-3.4065934065934065,-10.82967032967033,-77.95604395604396
118,0.004,-198.85999999999999,-59.048,1046.272,11095.0,4322.5,892.5,-117.32000000000001,214.48000000000002,-887.8800000000001,-3.2857142857142856,-10.736263736263735,-77.97802197802197
119,0.004,-199.10399999999998,-58.804,1045.296,11410.0,4182.5,437.5,-117.32000000000001,214.48000000000002,-887.8800000000001,-3.1648351648351647,-10.802197802197803,-78.01098901098901
120,0.004,-199.10399999999998,-58.804,1044.808,11252.5,4357.5,577.5,-116.76,211.68,-889.9800000000001,-3.3736263736263736,-10.697802197802197,-77.97802197802197
121,0.004,-198.85999999999999,-58.56,1044.076,11060.0,4322.5,665.0,-116.76,211.68,-889.9800000000001,-3.2472527472527473,-10.752747252747254,-78.00549450549451
